"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-10-20T11:40:26.9253787+07:00[Asia/Bangkok]","0.0","0.17"
"Invitation People","Search people name with one character","SUCCESS","2022-10-20T11:40:27.1083763+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a name","SUCCESS","2022-10-20T11:40:27.1381044+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with symbol","SUCCESS","2022-10-20T11:40:27.1711742+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with a full name","SUCCESS","2022-10-20T11:40:27.2137786+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-10-20T11:40:27.2354969+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-10-20T11:40:27.2548376+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with conections","SUCCESS","2022-10-20T11:40:27.2794584+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-10-20T11:40:27.3055064+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with pages","SUCCESS","2022-10-20T11:40:27.3280296+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-10-20T11:40:27.3519496+07:00[Asia/Bangkok]","0.0","0.02"
