"Story","Title","Result","Date","Stability","Duration (s)"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-10-20T11:40:27.8851707+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-10-20T11:40:27.897909+07:00[Asia/Bangkok]","0.0","0.0"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-10-20T11:40:27.9059088+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with null email and null password","SUCCESS","2022-10-20T11:40:27.9282517+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-10-20T11:40:27.9452611+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-10-20T11:40:27.9650513+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-10-20T11:40:27.9886962+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with google account","SUCCESS","2022-10-20T11:40:28.0141302+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-10-20T11:40:28.0311098+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-10-20T11:40:28.0659112+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-10-20T11:40:28.0825719+07:00[Asia/Bangkok]","0.0","0.01"
