"Story","Title","Result","Date","Stability","Duration (s)"
"Search job","Search job with name company","SUCCESS","2022-10-20T11:40:27.3940525+07:00[Asia/Bangkok]","0.0","0.07"
"Search job","Search job with specification job","SUCCESS","2022-10-20T11:40:27.4673422+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with one character","SUCCESS","2022-10-20T11:40:27.5005046+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with number","SUCCESS","2022-10-20T11:40:27.5391454+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with null","SUCCESS","2022-10-20T11:40:27.586527+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with symbol","SUCCESS","2022-10-20T11:40:27.6046826+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with initial skill","SUCCESS","2022-10-20T11:40:27.6333793+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with Suggested job searches","SUCCESS","2022-10-20T11:40:27.651828+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with salary","SUCCESS","2022-10-20T11:40:27.6813366+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with skill assigment","SUCCESS","2022-10-20T11:40:27.695047+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with my job","SUCCESS","2022-10-20T11:40:27.7188566+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with interview prep","SUCCESS","2022-10-20T11:40:27.7499831+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with alerts","SUCCESS","2022-10-20T11:40:27.7653891+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with resume builder","SUCCESS","2022-10-20T11:40:27.7796448+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with job seeker guidance","SUCCESS","2022-10-20T11:40:27.7955014+07:00[Asia/Bangkok]","0.0","0.01"
